"plot","all_genres","raw_genre","genre","clean_text"
"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Drama","Drama","Drama_Romance","course several year two convict form friendship seeking consolation eventually redemption basic compassion"
"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","Crime, Drama","Crime","Crime_Thriller_Horror","vito corleone head mafia family decides hand empire youngest son michael however decision unintentionally put life loved one grave danger"
"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","Animation, Action, Adventure","Animation","SciFi_Fantasy","anime adaptation hindu epic ramayana lord ram combat wicked king ravana"
"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.","Comedy, Drama","Comedy","Comedy_Family","lazy uneducated student share close bond live together dormitory plan latest prank new headmaster arrives student naturally try overthrow comic war nitwit follows"
"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication.","Adventure, Drama","Adventure","Action_Adventure","film set sid young doctor completed mbbs posted cutoff area malkangiri district odisha village infamous naxals dominance basic facility real life tale perseverance dedication"
"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Animation, Action, Adventure","Animation","SciFi_Fantasy","mile morale catapult across multiverse encounter team spiderpeople charged protecting existence hero clash handle new threat mile must redefine mean hero"
"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action, Crime, Drama","Action","Action_Adventure","menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice"
"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography, Drama, History","Biography","Drama_Romance","germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazi"
"The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.","Crime, Drama","Crime","Crime_Thriller_Horror","jury new york city murder trial frustrated single member whose skeptical caution force carefully consider evidence jumping hasty verdict"
"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime, Drama","Crime","Crime_Thriller_Horror","early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicate"
"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","Action, Adventure, Drama","Action","Action_Adventure","gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring"
"Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »","Crime, Mystery, Thriller","Crime","Crime_Thriller_Horror","ayna actor prison stage slip character powerful convicted exchange money take place prison strange profession borne see full summary"
"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime, Drama","Crime","Crime_Thriller_Horror","life two mob hitman boxer gangster wife pair diner bandit intertwine four tale violence redemption"
